STARTING APP .........

Beginning translation of logical addresses to physical addresses...
virt: 0x903a (pg:0x90,off:0x3a)---> -----------, ---------- , *IN_BACK_S*,  phys: 0x473a, val:   36	  tlb_Hits:  3
virt: 0xe71a (pg:0xe7,off:0x1a)---> -----------, *IN_P_TBLE*, -----------,  phys: 0x281a, val:   57	  tlb_Hits:  3
virt: 0xc578 (pg:0xc5,off:0x78)---> -----------, ---------- , *IN_BACK_S*,  phys: 0x4878, val:    0	  tlb_Hits:  3

virt: 0x45ca (pg:0x45,off:0xca)---> -----------, *IN_P_TBLE*, -----------,  phys: 0x26ca, val:   17	  tlb_Hits:  3
virt: 0x46e1 (pg:0x46,off:0xe1)---> -----------, ---------- , *IN_BACK_S*,  phys: 0x49e1, val:    0	  tlb_Hits:  3
virt: 0x0f2c (pg:0x f,off:0x2c)---> -----------, ---------- , *IN_BACK_S*,  phys: 0x4a2c, val:    0	  tlb_Hits:  3
virt: 0xd474 (pg:0xd4,off:0x74)---> -----------, ---------- , *IN_BACK_S*,  phys: 0x4b74, val:    0	  tlb_Hits:  3
virt: 0xa7b4 (pg:0xa7,off:0xb4)---> -----------, ---------- , *IN_BACK_S*,  phys: 0x4cb4, val:    0	  tlb_Hits:  3

virt: 0xb747 (pg:0xb7,off:0x47)---> -----------, ---------- , *IN_BACK_S*,  phys: 0x4d47, val:  -47	  tlb_Hits:  3
virt: 0xe60c (pg:0xe6,off:0x c)---> -----------, *IN_P_TBLE*, -----------,  phys: 0x3a0c, val:    0	  tlb_Hits:  3
virt: 0x21ac (pg:0x21,off:0xac)---> -----------, ---------- , *IN_BACK_S*,  phys: 0x4eac, val:    0	  tlb_Hits:  3
virt: 0x95c0 (pg:0x95,off:0xc0)---> -----------, ---------- , *IN_BACK_S*,  phys: 0x4fc0, val:    0	  tlb_Hits:  3
virt: 0xfb65 (pg:0xfb,off:0x65)---> -----------, *IN_P_TBLE*, -----------,  phys: 0x1365, val:    0	  tlb_Hits:  3

virt: 0x5b5b (pg:0x5b,off:0x5b)---> -----------, ---------- , *IN_BACK_S*,  phys: 0x505b, val:  -42	  tlb_Hits:  3
virt: 0xa688 (pg:0xa6,off:0x88)---> -----------, ---------- , *IN_BACK_S*,  phys: 0x5188, val:    0	  tlb_Hits:  3
virt: 0x3e29 (pg:0x3e,off:0x29)---> -----------, ---------- , *IN_BACK_S*,  phys: 0x5229, val:    0	  tlb_Hits:  3
virt: 0x3d3f (pg:0x3d,off:0x3f)---> -----------, *IN_P_TBLE*, -----------,  phys: 0x2e3f, val:   79	  tlb_Hits:  3
virt: 0x57e5 (pg:0x57,off:0xe5)---> -----------, *IN_P_TBLE*, -----------,  phys: 0x2ce5, val:    0	  tlb_Hits:  3

virt: 0x92a4 (pg:0x92,off:0xa4)---> -----------, ---------- , *IN_BACK_S*,  phys: 0x53a4, val:    0	  tlb_Hits:  3
virt: 0x1597 (pg:0x15,off:0x97)---> -----------, ---------- , *IN_BACK_S*,  phys: 0x5497, val:  101	  tlb_Hits:  3
virt: 0xf9b1 (pg:0xf9,off:0xb1)---> -----------, ---------- , *IN_BACK_S*,  phys: 0x55b1, val:    0	  tlb_Hits:  3
virt: 0xf4fc (pg:0xf4,off:0xfc)---> -----------, *IN_P_TBLE*, -----------,  phys: 0x01fc, val:    0	  tlb_Hits:  3
virt: 0x806a (pg:0x80,off:0x6a)---> -----------, *IN_P_TBLE*, -----------,  phys: 0x106a, val:   32	  tlb_Hits:  3

virt: 0xfb86 (pg:0xfb,off:0x86)--->  *IN_TLB*  , ---------- , -----------,  phys: 0x1386, val:   62	  tlb_Hits:  4
virt: 0xf67d (pg:0xf6,off:0x7d)---> -----------, ---------- , *IN_BACK_S*,  phys: 0x567d, val:    0	  tlb_Hits:  4
virt: 0xf16a (pg:0xf1,off:0x6a)---> -----------, ---------- , *IN_BACK_S*,  phys: 0x576a, val:   60	  tlb_Hits:  4
virt: 0x4cc0 (pg:0x4c,off:0xc0)---> -----------, ---------- , *IN_BACK_S*,  phys: 0x58c0, val:    0	  tlb_Hits:  4
virt: 0x7167 (pg:0x71,off:0x67)---> -----------, *IN_P_TBLE*, -----------,  phys: 0x4067, val:   89	  tlb_Hits:  4

virt: 0xafb5 (pg:0xaf,off:0xb5)---> -----------, *IN_P_TBLE*, -----------,  phys: 0x33b5, val:    0	  tlb_Hits:  4
